defect_id,system,department,section,description,reason_code,tier,crew_size,equipment,detected_date,due_date,est_duration_h
BD-003,SMMS,SNT,SEC-A,Signal testing,OTHR,2,1,none,2026-09-07,2026-09-25,2.0
BD-005,SMMS,SNT,SEC-D,Interlocking modification,OTHR,1,1,none,2026-09-27,2026-09-29,2.5
BD-009,SMMS,SNT,SEC-F,Interlocking modification,OTHR,1,1,none,2026-09-16,2026-09-18,2.5
BD-015,SMMS,SNT,SEC-E,Signal testing,OTHR,2,1,none,2026-09-14,2026-09-30,2.0
BD-019,SMMS,SNT,SEC-H,Interlocking modification,OTHR,1,1,none,2026-09-04,2026-09-07,2.5
BD-022,SMMS,SNT,SEC-D,Interlocking modification,OTHR,1,1,none,2026-09-15,2026-09-18,2.5
BD-023,SMMS,SNT,SEC-E,Points lubrication,OTHR,3,1,none,2026-09-23,2026-09-30,1.5
BD-027,SMMS,SNT,SEC-B,Signal testing,OTHR,2,1,none,2026-09-16,2026-09-30,2.0
BD-030,SMMS,SNT,SEC-E,Points lubrication,OTHR,3,1,none,2026-09-28,2026-09-30,1.5
BD-034,SMMS,SNT,SEC-A,Signal testing,OTHR,2,1,none,2026-09-09,2026-09-27,2.0
BD-037,SMMS,SNT,SEC-C,Interlocking modification,OTHR,1,1,none,2026-09-23,2026-09-24,2.5
BD-041,SMMS,SNT,SEC-F,Interlocking modification,OTHR,1,1,none,2026-09-15,2026-09-18,2.5
BD-042,SMMS,SNT,SEC-A,Signal testing,OTHR,2,1,none,2026-09-06,2026-09-17,2.0
BD-046,SMMS,SNT,SEC-F,Points failure rectification,OTHR,0,1,none,2026-09-06,2026-09-08,2.0
BD-054,SMMS,SNT,SEC-D,Points lubrication,OTHR,3,1,none,2026-09-04,2026-09-28,1.5
BD-058,SMMS,SNT,SEC-A,Interlocking modification,OTHR,1,1,none,2026-09-29,2026-09-30,2.5
BD-059,SMMS,SNT,SEC-A,Interlocking modification,OTHR,1,1,none,2026-09-16,2026-09-19,2.5
BD-060,SMMS,SNT,SEC-H,Signal testing,OTHR,2,1,none,2026-09-11,2026-09-30,2.0
BD-065,SMMS,SNT,SEC-G,Points lubrication,OTHR,3,1,none,2026-09-07,2026-09-23,1.5
BD-066,SMMS,SNT,SEC-E,Interlocking modification,OTHR,1,1,none,2026-09-11,2026-09-13,2.5
BD-067,SMMS,SNT,SEC-B,Interlocking modification,OTHR,1,1,none,2026-09-07,2026-09-08,2.5
BD-070,SMMS,SNT,SEC-E,Signal testing,OTHR,2,1,none,2026-09-30,2026-09-30,2.0
BD-082,SMMS,SNT,SEC-C,Signal testing,OTHR,2,1,none,2026-09-12,2026-09-27,2.0
BD-084,SMMS,SNT,SEC-D,Points failure rectification,OTHR,0,1,none,2026-09-12,2026-09-15,2.0
BD-089,SMMS,SNT,SEC-H,Signal testing,OTHR,2,1,none,2026-09-17,2026-09-30,2.0
BD-093,SMMS,SNT,SEC-E,Signal testing,OTHR,2,1,none,2026-09-03,2026-09-13,2.0
BD-099,SMMS,SNT,SEC-D,Signal testing,OTHR,2,1,none,2026-09-11,2026-09-23,2.0
BD-100,SMMS,SNT,SEC-H,Points lubrication,OTHR,3,1,none,2026-09-04,2026-09-10,1.5
BD-106,SMMS,SNT,SEC-F,Signal testing,OTHR,2,1,none,2026-09-14,2026-09-25,2.0
BD-108,SMMS,SNT,SEC-A,Points failure rectification,OTHR,0,1,none,2026-09-23,2026-09-25,2.0
BD-113,SMMS,SNT,SEC-A,Signal testing,OTHR,2,1,none,2026-09-05,2026-09-08,2.0
BD-114,SMMS,SNT,SEC-H,Signal testing,OTHR,2,1,none,2026-09-19,2026-09-30,2.0
BD-117,SMMS,SNT,SEC-F,Points lubrication,OTHR,3,1,none,2026-09-18,2026-09-30,1.5
BD-127,SMMS,SNT,SEC-H,Signal testing,OTHR,2,1,none,2026-09-28,2026-09-30,2.0
BD-131,SMMS,SNT,SEC-G,Interlocking modification,OTHR,1,1,none,2026-09-17,2026-09-19,2.5
BD-133,SMMS,SNT,SEC-G,Signal testing,OTHR,2,1,none,2026-09-02,2026-09-15,2.0
BD-135,SMMS,SNT,SEC-A,Interlocking modification,OTHR,1,1,none,2026-09-18,2026-09-19,2.5
BD-137,SMMS,SNT,SEC-E,Interlocking modification,OTHR,1,1,none,2026-09-17,2026-09-19,2.5
BD-138,SMMS,SNT,SEC-G,Interlocking modification,OTHR,1,1,none,2026-09-20,2026-09-23,2.5
BD-139,SMMS,SNT,SEC-E,Interlocking modification,OTHR,1,1,none,2026-09-15,2026-09-17,2.5
BD-151,SMMS,SNT,SEC-E,Signal testing,OTHR,2,1,none,2026-09-14,2026-09-24,2.0
BD-152,SMMS,SNT,SEC-E,Interlocking modification,OTHR,1,1,none,2026-09-24,2026-09-26,2.5
BD-154,SMMS,SNT,SEC-D,Points lubrication,OTHR,3,1,none,2026-09-23,2026-09-30,1.5
BD-155,SMMS,SNT,SEC-G,Points lubrication,OTHR,3,1,none,2026-09-23,2026-09-30,1.5
