defect_id,system,department,section,description,reason_code,tier,crew_size,equipment,detected_date,due_date,est_duration_h
BD-001,TDMS,TRD,SEC-G,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-04,2026-09-07,3.0
BD-002,TDMS,TRD,SEC-E,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-08,2026-09-10,3.0
BD-004,TDMS,TRD,SEC-A,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-01,2026-09-23,2.5
BD-008,TDMS,TRD,SEC-H,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-26,2026-09-27,3.0
BD-016,TDMS,TRD,SEC-F,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-01,2026-09-06,2.0
BD-017,TDMS,TRD,SEC-H,OHE breakdown repair,POWER,0,2,tower-wagon,2026-09-01,2026-09-04,3.0
BD-018,TDMS,TRD,SEC-G,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-11,2026-09-30,2.0
BD-020,TDMS,TRD,SEC-G,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-07,2026-09-26,2.5
BD-024,TDMS,TRD,SEC-D,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-12,2026-09-15,3.0
BD-026,TDMS,TRD,SEC-F,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-28,2026-09-30,2.5
BD-029,TDMS,TRD,SEC-C,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-21,2026-09-30,2.5
BD-032,TDMS,TRD,SEC-E,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-05,2026-09-21,2.5
BD-038,TDMS,TRD,SEC-E,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-20,2026-09-22,3.0
BD-043,TDMS,TRD,SEC-F,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-20,2026-09-30,2.0
BD-047,TDMS,TRD,SEC-D,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-28,2026-09-30,2.0
BD-053,TDMS,TRD,SEC-F,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-10,2026-09-30,2.5
BD-061,TDMS,TRD,SEC-B,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-20,2026-09-23,3.0
BD-069,TDMS,TRD,SEC-F,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-29,2026-09-30,3.0
BD-071,TDMS,TRD,SEC-C,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-29,2026-09-30,2.5
BD-074,TDMS,TRD,SEC-C,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-03,2026-09-19,2.0
BD-079,TDMS,TRD,SEC-D,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-22,2026-09-30,2.0
BD-080,TDMS,TRD,SEC-F,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-21,2026-09-30,2.5
BD-092,TDMS,TRD,SEC-H,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-01,2026-09-26,2.5
BD-095,TDMS,TRD,SEC-A,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-24,2026-09-30,2.5
BD-097,TDMS,TRD,SEC-B,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-28,2026-09-30,2.5
BD-098,TDMS,TRD,SEC-B,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-14,2026-09-15,3.0
BD-101,TDMS,TRD,SEC-A,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-29,2026-09-30,2.5
BD-102,TDMS,TRD,SEC-C,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-07,2026-09-09,3.0
BD-103,TDMS,TRD,SEC-F,OHE breakdown repair,POWER,0,2,tower-wagon,2026-09-17,2026-09-19,3.0
BD-104,TDMS,TRD,SEC-F,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-05,2026-09-25,2.5
BD-110,TDMS,TRD,SEC-F,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-19,2026-09-20,3.0
BD-111,TDMS,TRD,SEC-E,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-16,2026-09-30,2.5
BD-112,TDMS,TRD,SEC-G,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-27,2026-09-28,3.0
BD-115,TDMS,TRD,SEC-D,OHE breakdown repair,POWER,0,2,tower-wagon,2026-09-27,2026-09-30,3.0
BD-116,TDMS,TRD,SEC-F,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-13,2026-09-15,3.0
BD-122,TDMS,TRD,SEC-B,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-07,2026-09-17,2.0
BD-125,TDMS,TRD,SEC-A,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-19,2026-09-30,2.5
BD-126,TDMS,TRD,SEC-E,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-08,2026-09-16,2.5
BD-128,TDMS,TRD,SEC-H,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-22,2026-09-24,3.0
BD-134,TDMS,TRD,SEC-A,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-07,2026-09-18,2.5
BD-142,TDMS,TRD,SEC-A,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-12,2026-09-14,3.0
BD-143,TDMS,TRD,SEC-E,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-30,2026-09-30,2.5
BD-146,TDMS,TRD,SEC-F,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-21,2026-09-24,3.0
BD-147,TDMS,TRD,SEC-F,OHE tension adjustment,POWER,2,1,tower-wagon,2026-09-13,2026-09-29,2.5
BD-149,TDMS,TRD,SEC-C,OHE insulator replacement,POWER,1,1,tower-wagon,2026-09-01,2026-09-02,3.0
BD-153,TDMS,TRD,SEC-G,Traction bond renewal,POWER,3,1,tower-wagon,2026-09-11,2026-09-30,2.0
